,state_name,date,confirmed
521,Colorado,2020-02-22,0
522,Colorado,2020-02-23,0
523,Colorado,2020-02-24,0
524,Colorado,2020-02-25,0
525,Colorado,2020-02-26,0
526,Colorado,2020-02-27,0
527,Colorado,2020-02-28,0
528,Colorado,2020-02-29,0
529,Colorado,2020-03-01,0
530,Colorado,2020-03-02,0
531,Colorado,2020-03-03,0
532,Colorado,2020-03-04,0
533,Colorado,2020-03-05,0
534,Colorado,2020-03-06,3
535,Colorado,2020-03-07,7
536,Colorado,2020-03-08,7
537,Colorado,2020-03-09,14
538,Colorado,2020-03-10,18
539,Colorado,2020-03-11,24
540,Colorado,2020-03-12,49
541,Colorado,2020-03-13,77
542,Colorado,2020-03-14,101
543,Colorado,2020-03-15,131
544,Colorado,2020-03-16,160
545,Colorado,2020-03-17,183
546,Colorado,2020-03-18,183
547,Colorado,2020-03-19,277
548,Colorado,2020-03-20,362
549,Colorado,2020-03-21,475
550,Colorado,2020-03-22,591
551,Colorado,2020-03-23,720
552,Colorado,2020-03-24,911
553,Colorado,2020-03-25,1086
554,Colorado,2020-03-26,1429
555,Colorado,2020-03-27,1732
556,Colorado,2020-03-28,2061
557,Colorado,2020-03-29,2306
558,Colorado,2020-03-30,2624
559,Colorado,2020-03-31,2965
560,Colorado,2020-04-01,3341
561,Colorado,2020-04-02,3724
562,Colorado,2020-04-03,4173
563,Colorado,2020-04-04,4565
564,Colorado,2020-04-05,4950
565,Colorado,2020-04-06,5172
566,Colorado,2020-04-07,5429
567,Colorado,2020-04-08,5655
568,Colorado,2020-04-09,6098
569,Colorado,2020-04-10,6322
570,Colorado,2020-04-11,6638
571,Colorado,2020-04-12,6898
572,Colorado,2020-04-13,7128
573,Colorado,2020-04-14,7290
574,Colorado,2020-04-15,7493
575,Colorado,2020-04-16,8675
576,Colorado,2020-04-17,9046
577,Colorado,2020-04-18,9432
578,Colorado,2020-04-19,9729
579,Colorado,2020-04-20,10106
580,Colorado,2020-04-21,10446
581,Colorado,2020-04-22,10877
582,Colorado,2020-04-23,11188
583,Colorado,2020-04-24,12179
584,Colorado,2020-04-25,12892
585,Colorado,2020-04-26,13365
586,Colorado,2020-04-27,13804
587,Colorado,2020-04-28,14316
588,Connecticut,2020-01-22,0
589,Connecticut,2020-01-23,0
590,Connecticut,2020-01-24,0
591,Connecticut,2020-01-25,0
592,Connecticut,2020-01-26,0
593,Connecticut,2020-01-27,0
594,Connecticut,2020-01-28,0
595,Connecticut,2020-01-29,0
596,Connecticut,2020-01-30,0
597,Connecticut,2020-01-31,0
598,Connecticut,2020-02-01,0
599,Connecticut,2020-02-02,0
600,Connecticut,2020-02-03,0
601,Connecticut,2020-02-04,0
602,Connecticut,2020-02-05,0
603,Connecticut,2020-02-06,0
604,Connecticut,2020-02-07,0
605,Connecticut,2020-02-08,0
606,Connecticut,2020-02-09,0
607,Connecticut,2020-02-10,0
608,Connecticut,2020-02-11,0
609,Connecticut,2020-02-12,0
610,Connecticut,2020-02-13,0
611,Connecticut,2020-02-14,0
612,Connecticut,2020-02-15,0
613,Connecticut,2020-02-16,0
614,Connecticut,2020-02-17,0
615,Connecticut,2020-02-18,0
616,Connecticut,2020-02-19,0
617,Connecticut,2020-02-20,0
618,Connecticut,2020-02-21,0
619,Connecticut,2020-02-22,0
620,Connecticut,2020-02-23,0
621,Connecticut,2020-02-24,0
622,Connecticut,2020-02-25,0
623,Connecticut,2020-02-26,0
624,Connecticut,2020-02-27,0
625,Connecticut,2020-02-28,0
626,Connecticut,2020-02-29,0
627,Connecticut,2020-03-01,0
628,Connecticut,2020-03-02,0
629,Connecticut,2020-03-03,0
630,Connecticut,2020-03-04,0
631,Connecticut,2020-03-05,0
632,Connecticut,2020-03-06,0
633,Connecticut,2020-03-07,0
634,Connecticut,2020-03-08,0
635,Connecticut,2020-03-09,1
